"Faça uma cópia da planilha para realizar o desafio em:
Arquivo > Fazer uma cópia",,,,,,,
Nº de vendas,Nº de vendas confirmadas,Qtd de acessos,Data,GMV,Tipo,Categoria,Parceiro
7,7,91,2022-01-01,"R$ 2.776,28",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
4,2,35,2022-01-01,"R$ 7.842,22",Padrão,VIAGEM E TURISMO,Parceiro-1561
2,1,16,2022-01-01,"R$ 1.599,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
10,9,56,2022-01-01,"R$ 4.783,39",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
3,3,45,2022-01-01,"R$ 6.491,66",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1134,969,10558,2022-01-01,"R$ 738.192,47",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
1,1,25,2022-01-01,"R$ 101,92",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
256,231,3057,2022-01-01,"R$ 117.743,97",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
2120,1888,11306,2022-01-01,"R$ 374.581,82",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
266,179,3002,2022-01-01,"R$ 290.155,50",Padrão,VIAGEM E TURISMO,Parceiro-262
19,17,132,2022-01-01,"R$ 13.879,34",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
280,228,1272,2022-01-01,"R$ 44.954,56",Padrão,BELEZA E SAÚDE,Parceiro-463
118,113,736,2022-01-01,"R$ 23.190,34",Padrão,MODA E ACESSÓRIOS,Parceiro-49
17,14,183,2022-01-01,"R$ 5.373,50",Padrão,BELEZA E SAÚDE,Parceiro-51
35,29,229,2022-01-01,"R$ 13.006,05",Padrão,ESPORTE E LAZER,Parceiro-525
50,37,378,2022-01-01,"R$ 4.564,91",Padrão,VIAGEM E TURISMO,Parceiro-6095
3,3,34,2022-01-01,"R$ 562,63",Padrão,ESPORTE E LAZER,Parceiro-62
3,3,82,2022-01-01,"R$ 1.052,21",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
27,26,645,2022-01-01,"R$ 30.826,27",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
11,11,202,2022-01-02,"R$ 7.657,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
8,6,58,2022-01-02,"R$ 23.697,79",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,4,67,2022-01-02,"R$ 11.728,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
11,10,66,2022-01-02,"R$ 5.220,93",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
2,0,49,2022-01-02,"R$ 6.197,00",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1779,1557,17380,2022-01-02,"R$ 1.155.038,52",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
1,1,23,2022-01-02,"R$ 33,90",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
472,420,4914,2022-01-02,"R$ 240.041,62",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3357,3021,16779,2022-01-02,"R$ 538.646,21",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
458,305,4161,2022-01-02,"R$ 558.478,73",Padrão,VIAGEM E TURISMO,Parceiro-262
26,26,258,2022-01-02,"R$ 16.337,95",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
546,403,2553,2022-01-02,"R$ 89.659,42",Padrão,BELEZA E SAÚDE,Parceiro-463
177,162,1031,2022-01-02,"R$ 36.149,35",Padrão,MODA E ACESSÓRIOS,Parceiro-49
